displayName,commonName,sciName,speciesCode,category,reportAsSpeciesCode,reportAsCategory,showSpeciesPageLink
White-winged Collared-Dove,White-winged Collared-Dove,Streptopelia reichenowi,wwcdov1,species,wwcdov1,species,True
Mourning Collared-Dove,Mourning Collared-Dove,Streptopelia decipiens,afmdov1,species,afmdov1,species,True
Red-eyed Dove,Red-eyed Dove,Streptopelia semitorquata,reedov1,species,reedov1,species,True
Ring-necked Dove,Ring-necked Dove,Streptopelia capicola,rindov,species,rindov,species,True
Laughing Dove,Laughing Dove,Streptopelia senegalensis,laudov1,species,laudov1,species,True
Streptopelia sp.,Streptopelia sp.,Streptopelia sp.,strept1,spuh,strept1,spuh,False
Emerald-spotted Wood-Dove,Emerald-spotted Wood-Dove,Turtur chalcospilos,eswdov1,species,eswdov1,species,True
Blue-spotted Wood-Dove,Blue-spotted Wood-Dove,Turtur afer,bswdov1,species,bswdov1,species,True
Tambourine Dove,Tambourine Dove,Turtur tympanistria,tamdov1,species,tamdov1,species,True
Namaqua Dove,Namaqua Dove,Oena capensis,namdov1,species,namdov1,species,True
Bruce's Green-Pigeon,Bruce's Green-Pigeon,Treron waalia,brgpig1,species,brgpig1,species,True
African Green-Pigeon,African Green-Pigeon,Treron calvus,afrgrp1,species,afrgrp1,species,True
Chestnut-bellied Sandgrouse,Chestnut-bellied Sandgrouse,Pterocles exustus,chbsan,species,chbsan,species,True
Yellow-throated Sandgrouse,Yellow-throated Sandgrouse,Pterocles gutturalis,yetsan1,species,yetsan1,species,True
Black-faced Sandgrouse,Black-faced Sandgrouse,Pterocles decoratus,blfsan1,species,blfsan1,species,True
Lichtenstein's Sandgrouse,Lichtenstein's Sandgrouse,Pterocles lichtensteinii,licsan1,species,licsan1,species,True
Four-banded Sandgrouse,Four-banded Sandgrouse,Pterocles quadricinctus,fobsan1,species,fobsan1,species,True
sandgrouse sp.,sandgrouse sp.,Pterocles sp.,sandgr1,spuh,sandgr1,spuh,False
Arabian Bustard,Arabian Bustard,Ardeotis arabs,arabus1,species,arabus1,species,True
Kori Bustard,Kori Bustard,Ardeotis kori,korbus1,species,korbus1,species,True
Denham's Bustard,Denham's Bustard,Neotis denhami,stabus1,species,stabus1,species,True
Heuglin's Bustard,Heuglin's Bustard,Neotis heuglinii,heubus1,species,heubus1,species,True
White-bellied Bustard,White-bellied Bustard,Eupodotis senegalensis,whbbus2,species,whbbus2,species,True
Buff-crested Bustard,Buff-crested Bustard,Eupodotis gindiana,bucbus1,species,bucbus1,species,True
Black-bellied Bustard,Black-bellied Bustard,Lissotis melanogaster,bkbbus1,species,bkbbus1,species,True
Hartlaub's Bustard,Hartlaub's Bustard,Lissotis hartlaubii,harbus2,species,harbus2,species,True
Great Blue Turaco,Great Blue Turaco,Corythaeola cristata,grbtur1,species,grbtur1,species,True
Schalow's Turaco,Schalow's Turaco,Tauraco schalowi,schtur1,species,schtur1,species,True
Black-billed Turaco,Black-billed Turaco,Tauraco schuettii,blbtur1,species,blbtur1,species,True
White-crested Turaco,White-crested Turaco,Tauraco leucolophus,whctur2,species,whctur2,species,True
Fischer's Turaco,Fischer's Turaco,Tauraco fischeri,fistur1,species,fistur1,species,True
Hartlaub's Turaco,Hartlaub's Turaco,Tauraco hartlaubi,hartur1,species,hartur1,species,True
Purple-crested Turaco,Purple-crested Turaco,Tauraco porphyreolophus,puctur2,species,puctur2,species,True
Ross's Turaco,Ross's Turaco,Musophaga rossae,rostur1,species,rostur1,species,True
Bare-faced Go-away-bird,Bare-faced Go-away-bird,Corythaixoides personatus,bfgbir1,species,bfgbir1,species,True
White-bellied Go-away-bird,White-bellied Go-away-bird,Corythaixoides leucogaster,wbgbir1,species,wbgbir1,species,True
Eastern Plantain-eater,Eastern Plantain-eater,Crinifer zonurus,easple1,species,easple1,species,True
Senegal Coucal,Senegal Coucal,Centropus senegalensis,sencou1,species,sencou1,species,True
Blue-headed Coucal,Blue-headed Coucal,Centropus monachus,blhcou2,species,blhcou2,species,True
White-browed Coucal,White-browed Coucal,Centropus superciliosus,whbcou1,species,whbcou1,species,True
Black Coucal,Black Coucal,Centropus grillii,blacou1,species,blacou1,species,True
Blue Malkoha,Blue Malkoha,Ceuthmochares aereus,yellow5,species,yellow5,species,True
Green Malkoha,Green Malkoha,Ceuthmochares australis,yellow6,species,yellow6,species,True
Great Spotted Cuckoo,Great Spotted Cuckoo,Clamator glandarius,grscuc1,species,grscuc1,species,True
Levaillant's Cuckoo,Levaillant's Cuckoo,Clamator levaillantii,levcuc1,species,levcuc1,species,True
Pied Cuckoo,Pied Cuckoo,Clamator jacobinus,piecuc1,species,piecuc1,species,True
Thick-billed Cuckoo,Thick-billed Cuckoo,Pachycoccyx audeberti,thbcuc1,species,thbcuc1,species,True
Dideric Cuckoo,Dideric Cuckoo,Chrysococcyx caprius,didcuc1,species,didcuc1,species,True
Klaas's Cuckoo,Klaas's Cuckoo,Chrysococcyx klaas,klacuc1,species,klacuc1,species,True
African Emerald Cuckoo,African Emerald Cuckoo,Chrysococcyx cupreus,afecuc1,species,afecuc1,species,True
Barred Long-tailed Cuckoo,Barred Long-tailed Cuckoo,Cercococcyx montanus,bltcuc1,species,bltcuc1,species,True
Black Cuckoo,Black Cuckoo,Cuculus clamosus,blacuc1,species,blacuc1,species,True
Red-chested Cuckoo,Red-chested Cuckoo,Cuculus solitarius,reccuc1,species,reccuc1,species,True
Lesser Cuckoo,Lesser Cuckoo,Cuculus poliocephalus,lescuc1,species,lescuc1,species,True
African Cuckoo,African Cuckoo,Cuculus gularis,afrcuc1,species,afrcuc1,species,True
Madagascar Cuckoo,Madagascar Cuckoo,Cuculus rochii,madcuc1,species,madcuc1,species,True
Common Cuckoo,Common Cuckoo,Cuculus canorus,comcuc,species,comcuc,species,True
cuckoo sp. (Cuculidae sp.),cuckoo sp. (Cuculidae sp.),Cuculidae sp.,cuckoo3,spuh,cuckoo3,spuh,False
Pennant-winged Nightjar,Pennant-winged Nightjar,Caprimulgus vexillarius,pewnig1,species,pewnig1,species,True
Standard-winged Nightjar,Standard-winged Nightjar,Caprimulgus longipennis,stwnig1,species,stwnig1,species,True
Eurasian Nightjar,Eurasian Nightjar,Caprimulgus europaeus,eurnig1,species,eurnig1,species,True
Sombre Nightjar,Sombre Nightjar,Caprimulgus fraenatus,somnig1,species,somnig1,species,True
Nubian Nightjar,Nubian Nightjar,Caprimulgus nubicus,nubnig1,species,nubnig1,species,True
Donaldson-Smith's Nightjar,Donaldson-Smith's Nightjar,Caprimulgus donaldsoni,dosnig1,species,dosnig1,species,True
Black-shouldered Nightjar,Black-shouldered Nightjar,Caprimulgus nigriscapularis,bksnig1,species,bksnig1,species,True
Fiery-necked Nightjar,Fiery-necked Nightjar,Caprimulgus pectoralis,finnig1,species,finnig1,species,True
Abyssinian Nightjar,Abyssinian Nightjar,Caprimulgus poliocephalus,abynig1,species,abynig1,species,True
Swamp Nightjar,Swamp Nightjar,Caprimulgus natalensis,swanig1,species,swanig1,species,True
Plain Nightjar,Plain Nightjar,Caprimulgus inornatus,planig1,species,planig1,species,True
Star-spotted Nightjar,Star-spotted Nightjar,Caprimulgus stellatus,stsnig1,species,stsnig1,species,True
Freckled Nightjar,Freckled Nightjar,Caprimulgus tristigma,frenig1,species,frenig1,species,True
Long-tailed Nightjar,Long-tailed Nightjar,Caprimulgus climacurus,lotnig1,species,lotnig1,species,True
Slender-tailed Nightjar,Slender-tailed Nightjar,Caprimulgus clarus,sltnig1,species,sltnig1,species,True
Square-tailed Nightjar,Square-tailed Nightjar,Caprimulgus fossii,sqtnig1,species,sqtnig1,species,True
nightjar sp.,nightjar sp.,Caprimulgidae sp.,nightj1,spuh,nightj1,spuh,False
Mottled Spinetail,Mottled Spinetail,Telacanthura ussheri,motspi1,species,motspi1,species,True
Sabine's Spinetail,Sabine's Spinetail,Rhaphidura sabini,sabspi1,species,sabspi1,species,True
Bat-like Spinetail,Bat-like Spinetail,Neafrapus boehmi,balspi1,species,balspi1,species,True
Scarce Swift,Scarce Swift,Schoutedenapus myoptilus,scaswi1,species,scaswi1,species,True
Alpine Swift,Alpine Swift,Apus melba,alpswi1,species,alpswi1,species,True
Mottled Swift,Mottled Swift,Apus aequatorialis,motswi2,species,motswi2,species,True
Common Swift,Common Swift,Apus apus,comswi,species,comswi,species,True
Nyanza Swift,Nyanza Swift,Apus niansae,nyaswi1,species,nyaswi1,species,True
African Swift,African Swift,Apus barbatus,afrswi1,species,afrswi1,species,True
Forbes-Watson's Swift,Forbes-Watson's Swift,Apus berliozi,fowswi1,species,fowswi1,species,True
Little Swift,Little Swift,Apus affinis,litswi1,species,litswi1,species,True
Horus Swift,Horus Swift,Apus horus,horswi1,species,horswi1,species,True
White-rumped Swift,White-rumped Swift,Apus caffer,whrswi1,species,whrswi1,species,True
Apus sp.,Apus sp.,Apus sp.,apus1,spuh,apus1,spuh,False
African Palm-Swift,African Palm-Swift,Cypsiurus parvus,afpswi1,species,afpswi1,species,True
swift sp.,swift sp.,Apodidae sp.,swift1,spuh,swift1,spuh,False
White-spotted Flufftail,White-spotted Flufftail,Sarothrura pulchra,whsflu1,species,whsflu1,species,True
Buff-spotted Flufftail,Buff-spotted Flufftail,Sarothrura elegans,busflu1,species,busflu1,species,True
Red-chested Flufftail,Red-chested Flufftail,Sarothrura rufa,recflu1,species,recflu1,species,True
Streaky-breasted Flufftail,Streaky-breasted Flufftail,Sarothrura boehmi,stbflu1,species,stbflu1,species,True
Striped Flufftail,Striped Flufftail,Sarothrura affinis,strflu1,species,strflu1,species,True
African Rail,African Rail,Rallus caerulescens,afrrai1,species,afrrai1,species,True
Corn Crake,Corn Crake,Crex crex,corcra,species,corcra,species,True
African Crake,African Crake,Crex egregia,afrcra1,species,afrcra1,species,True
Spotted Crake,Spotted Crake,Porzana porzana,spocra1,species,spocra1,species,True
Lesser Moorhen,Lesser Moorhen,Paragallinula angulata,lesmoo1,species,lesmoo1,species,True
Eurasian Moorhen,Eurasian Moorhen,Gallinula chloropus,commoo3,species,commoo3,species,True
Red-knobbed Coot,Red-knobbed Coot,Fulica cristata,rekcoo1,species,rekcoo1,species,True
Allen's Gallinule,Allen's Gallinule,Porphyrio alleni,allgal1,species,allgal1,species,True
African Swamphen,African Swamphen,Porphyrio madagascariensis,purswa2,species,purswa2,species,True
Striped Crake,Striped Crake,Amaurornis marginalis,strcra1,species,strcra1,species,True
Black Crake,Black Crake,Zapornia flavirostra,blacra1,species,blacra1,species,True
Baillon's Crake,Baillon's Crake,Zapornia pusilla,baicra1,species,baicra1,species,True
African Finfoot,African Finfoot,Podica senegalensis,afrfin1,species,afrfin1,species,True
Gray Crowned-Crane,Gray Crowned-Crane,Balearica regulorum,grccra1,species,grccra1,species,True
Black Crowned-Crane,Black Crowned-Crane,Balearica pavonina,blccra1,species,blccra1,species,True
Water Thick-knee,Water Thick-knee,Burhinus vermiculatus,watkne1,species,watkne1,species,True
Eurasian Thick-knee,Eurasian Thick-knee,Burhinus oedicnemus,eutkne1,species,eutkne1,species,True
Senegal Thick-knee,Senegal Thick-knee,Burhinus senegalensis,setkne1,species,setkne1,species,True
Spotted Thick-knee,Spotted Thick-knee,Burhinus capensis,sptkne1,species,sptkne1,species,True
Black-winged Stilt,Black-winged Stilt,Himantopus himantopus,bkwsti,species,bkwsti,species,True
Pied Avocet,Pied Avocet,Recurvirostra avosetta,pieavo1,species,pieavo1,species,True
Eurasian Oystercatcher,Eurasian Oystercatcher,Haematopus ostralegus,euroys1,species,euroys1,species,True
Black-bellied Plover,Black-bellied Plover,Pluvialis squatarola,bkbplo,species,bkbplo,species,True
Pacific Golden-Plover,Pacific Golden-Plover,Pluvialis fulva,pagplo,species,pagplo,species,True
Northern Lapwing,Northern Lapwing,Vanellus vanellus,norlap,species,norlap,species,True
Long-toed Lapwing,Long-toed Lapwing,Vanellus crassirostris,lotlap1,species,lotlap1,species,True
Blacksmith Lapwing,Blacksmith Lapwing,Vanellus armatus,blaplo1,species,blaplo1,species,True
Spur-winged Lapwing,Spur-winged Lapwing,Vanellus spinosus,spwlap1,species,spwlap1,species,True
Black-headed Lapwing,Black-headed Lapwing,Vanellus tectus,blhlap1,species,blhlap1,species,True
Senegal Lapwing,Senegal Lapwing,Vanellus lugubris,senlap1,species,senlap1,species,True
Black-winged Lapwing,Black-winged Lapwing,Vanellus melanopterus,blwlap1,species,blwlap1,species,True
Crowned Lapwing,Crowned Lapwing,Vanellus coronatus,crolap1,species,crolap1,species,True
Wattled Lapwing,Wattled Lapwing,Vanellus senegallus,watlap1,species,watlap1,species,True
Brown-chested Lapwing,Brown-chested Lapwing,Vanellus superciliosus,brclap1,species,brclap1,species,True
lapwing sp.,lapwing sp.,Vanellus sp.,lapwin1,spuh,lapwin1,spuh,False
Lesser Sand-Plover,Lesser Sand-Plover,Charadrius mongolus,lesplo,species,lesplo,species,True
Greater Sand-Plover,Greater Sand-Plover,Charadrius leschenaultii,grsplo,species,grsplo,species,True
Caspian Plover,Caspian Plover,Charadrius asiaticus,casplo1,species,casplo1,species,True
Kittlitz's Plover,Kittlitz's Plover,Charadrius pecuarius,kitplo1,species,kitplo1,species,True
Kentish Plover,Kentish Plover,Charadrius alexandrinus,kenplo1,species,kenplo1,species,True
Common Ringed Plover,Common Ringed Plover,Charadrius hiaticula,corplo,species,corplo,species,True
Little Ringed Plover,Little Ringed Plover,Charadrius dubius,lirplo,species,lirplo,species,True
Three-banded Plover,Three-banded Plover,Charadrius tricollaris,thbplo1,species,thbplo1,species,True
White-fronted Plover,White-fronted Plover,Charadrius marginatus,whfplo1,species,whfplo1,species,True
Chestnut-banded Plover,Chestnut-banded Plover,Charadrius pallidus,chbplo1,species,chbplo1,species,True
plover sp.,plover sp.,Charadriidae sp.,plover2,spuh,plover2,spuh,False
Greater Painted-Snipe,Greater Painted-Snipe,Rostratula benghalensis,grpsni1,species,grpsni1,species,True
Lesser Jacana,Lesser Jacana,Microparra capensis,lesjac1,species,lesjac1,species,True
African Jacana,African Jacana,Actophilornis africanus,afrjac1,species,afrjac1,species,True
Whimbrel,Whimbrel,Numenius phaeopus,whimbr,species,whimbr,species,True
Eurasian Curlew,Eurasian Curlew,Numenius arquata,eurcur,species,eurcur,species,True
Bar-tailed Godwit,Bar-tailed Godwit,Limosa lapponica,batgod,species,batgod,species,True
Black-tailed Godwit,Black-tailed Godwit,Limosa limosa,bktgod,species,bktgod,species,True
Ruddy Turnstone,Ruddy Turnstone,Arenaria interpres,rudtur,species,rudtur,species,True
Ruff,Ruff,Calidris pugnax,ruff,species,ruff,species,True
Broad-billed Sandpiper,Broad-billed Sandpiper,Calidris falcinellus,brbsan,species,brbsan,species,True
Curlew Sandpiper,Curlew Sandpiper,Calidris ferruginea,cursan,species,cursan,species,True
Temminck's Stint,Temminck's Stint,Calidris temminckii,temsti,species,temsti,species,True
Long-toed Stint,Long-toed Stint,Calidris subminuta,lotsti,species,lotsti,species,True
Red-necked Stint,Red-necked Stint,Calidris ruficollis,rensti,species,rensti,species,True
Sanderling,Sanderling,Calidris alba,sander,species,sander,species,True
Dunlin,Dunlin,Calidris alpina,dunlin,species,dunlin,species,True
Little Stint,Little Stint,Calidris minuta,litsti,species,litsti,species,True
Pectoral Sandpiper,Pectoral Sandpiper,Calidris melanotos,pecsan,species,pecsan,species,True
peep sp.,peep sp.,Calidris sp. (peep sp.),calidr,spuh,calidr,spuh,False
Jack Snipe,Jack Snipe,Lymnocryptes minimus,jacsni,species,jacsni,species,True
Great Snipe,Great Snipe,Gallinago media,gresni1,species,gresni1,species,True
Common Snipe,Common Snipe,Gallinago gallinago,comsni,species,comsni,species,True
African Snipe,African Snipe,Gallinago nigripennis,afrsni1,species,afrsni1,species,True
Terek Sandpiper,Terek Sandpiper,Xenus cinereus,tersan,species,tersan,species,True
Red-necked Phalarope,Red-necked Phalarope,Phalaropus lobatus,renpha,species,renpha,species,True
Common Sandpiper,Common Sandpiper,Actitis hypoleucos,comsan,species,comsan,species,True
Green Sandpiper,Green Sandpiper,Tringa ochropus,grnsan,species,grnsan,species,True
Spotted Redshank,Spotted Redshank,Tringa erythropus,spored,species,spored,species,True
Common Greenshank,Common Greenshank,Tringa nebularia,comgre,species,comgre,species,True
Marsh Sandpiper,Marsh Sandpiper,Tringa stagnatilis,marsan,species,marsan,species,True
Wood Sandpiper,Wood Sandpiper,Tringa glareola,woosan,species,woosan,species,True
Common Redshank,Common Redshank,Tringa totanus,comred1,species,comred1,species,True
Small Buttonquail,Small Buttonquail,Turnix sylvaticus,smabut2,species,smabut2,species,True
Black-rumped Buttonquail,Black-rumped Buttonquail,Turnix nanus,hotbut3,species,hotbut3,species,True
Quail-plover,Quail-plover,Ortyxelos meiffrenii,quail-1,species,quail-1,species,True
Crab-Plover,Crab-Plover,Dromas ardeola,craplo1,species,craplo1,species,True
Cream-colored Courser,Cream-colored Courser,Cursorius cursor,crccou1,species,crccou1,species,True
Somali Courser,Somali Courser,Cursorius somalensis,somcou1,species,somcou1,species,True
Temminck's Courser,Temminck's Courser,Cursorius temminckii,temcou1,species,temcou1,species,True
Double-banded Courser,Double-banded Courser,Smutsornis africanus,dobcou2,species,dobcou2,species,True
Three-banded Courser,Three-banded Courser,Rhinoptilus cinctus,thbcou1,species,thbcou1,species,True
Bronze-winged Courser,Bronze-winged Courser,Rhinoptilus chalcopterus,brwcou1,species,brwcou1,species,True
Collared Pratincole,Collared Pratincole,Glareola pratincola,colpra,species,colpra,species,True
Black-winged Pratincole,Black-winged Pratincole,Glareola nordmanni,blwpra1,species,blwpra1,species,True
Madagascar Pratincole,Madagascar Pratincole,Glareola ocularis,madpra1,species,madpra1,species,True
Rock Pratincole,Rock Pratincole,Glareola nuchalis,rocpra1,species,rocpra1,species,True
shorebird sp.,shorebird sp.,Charadriiformes sp.,shoreb1,spuh,shoreb1,spuh,False
Parasitic Jaeger,Parasitic Jaeger,Stercorarius parasiticus,parjae,species,parjae,species,True
Slender-billed Gull,Slender-billed Gull,Chroicocephalus genei,slbgul1,species,slbgul1,species,True
Gray-hooded Gull,Gray-hooded Gull,Chroicocephalus cirrocephalus,grhgul,species,grhgul,species,True
Black-headed Gull,Black-headed Gull,Chroicocephalus ridibundus,bkhgul,species,bkhgul,species,True
White-eyed Gull,White-eyed Gull,Ichthyaetus leucophthalmus,whegul2,species,whegul2,species,True
Sooty Gull,Sooty Gull,Ichthyaetus hemprichii,soogul2,species,soogul2,species,True
Pallas's Gull,Pallas's Gull,Ichthyaetus ichthyaetus,gbhgul2,species,gbhgul2,species,True
Mew Gull,Mew Gull,Larus canus,mewgul,species,mewgul,species,True
Lesser Black-backed Gull,Lesser Black-backed Gull,Larus fuscus,lbbgul,species,lbbgul,species,True
Brown Noddy,Brown Noddy,Anous stolidus,brnnod,species,brnnod,species,True
Lesser Noddy,Lesser Noddy,Anous tenuirostris,lesnod1,species,lesnod1,species,True
Sooty Tern,Sooty Tern,Onychoprion fuscatus,sooter1,species,sooter1,species,True
Bridled Tern,Bridled Tern,Onychoprion anaethetus,briter1,species,briter1,species,True
Little Tern,Little Tern,Sternula albifrons,litter1,species,litter1,species,True
Saunders's Tern,Saunders's Tern,Sternula saundersi,sauter2,species,sauter2,species,True
Little/Saunders's Tern,Little/Saunders's Tern,Sternula albifrons/saundersi,y00662,slash,y00662,slash,False
Gull-billed Tern,Gull-billed Tern,Gelochelidon nilotica,gubter1,species,gubter1,species,True
Caspian Tern,Caspian Tern,Hydroprogne caspia,caster1,species,caster1,species,True
Black Tern,Black Tern,Chlidonias niger,blkter,species,blkter,species,True
White-winged Tern,White-winged Tern,Chlidonias leucopterus,whwter,species,whwter,species,True
Whiskered Tern,Whiskered Tern,Chlidonias hybrida,whiter2,species,whiter2,species,True
Roseate Tern,Roseate Tern,Sterna dougallii,roster,species,roster,species,True
Common Tern,Common Tern,Sterna hirundo,comter,species,comter,species,True
Arctic Tern,Arctic Tern,Sterna paradisaea,arcter,species,arcter,species,True
White-cheeked Tern,White-cheeked Tern,Sterna repressa,whcter1,species,whcter1,species,True
Great Crested Tern,Great Crested Tern,Thalasseus bergii,grcter1,species,grcter1,species,True
Sandwich Tern,Sandwich Tern,Thalasseus sandvicensis,santer1,species,santer1,species,True
Lesser Crested Tern,Lesser Crested Tern,Thalasseus bengalensis,lecter2,species,lecter2,species,True
tern sp.,tern sp.,Sterninae sp.,tern1,spuh,tern1,spuh,False
African Skimmer,African Skimmer,Rynchops flavirostris,afrski1,species,afrski1,species,True
White-tailed Tropicbird,White-tailed Tropicbird,Phaethon lepturus,whttro,species,whttro,species,True
White-capped Albatross,White-capped Albatross,Thalassarche cauta,whcalb1,species,whcalb1,species,True
Black-browed Albatross,Black-browed Albatross,Thalassarche melanophris,bkbalb,species,bkbalb,species,True
Wilson's Storm-Petrel,Wilson's Storm-Petrel,Oceanites oceanicus,wispet,species,wispet,species,True
Black-bellied Storm-Petrel,Black-bellied Storm-Petrel,Fregetta tropica,bbspet1,species,bbspet1,species,True
Leach's Storm-Petrel,Leach's Storm-Petrel,Oceanodroma leucorhoa,lcspet,species,lcspet,species,True
Matsudaira's Storm-Petrel,Matsudaira's Storm-Petrel,Oceanodroma matsudairae,maspet2,species,maspet2,species,True
Antarctic Prion,Antarctic Prion,Pachyptila desolata,dovpri1,species,dovpri1,species,True
Jouanin's Petrel,Jouanin's Petrel,Bulweria fallax,joupet,species,joupet,species,True
White-chinned Petrel,White-chinned Petrel,Procellaria aequinoctialis,whcpet1,species,whcpet1,species,True
Wedge-tailed Shearwater,Wedge-tailed Shearwater,Ardenna pacifica,wetshe,species,wetshe,species,True
Sooty Shearwater,Sooty Shearwater,Ardenna grisea,sooshe,species,sooshe,species,True
Tropical Shearwater,Tropical Shearwater,Puffinus bailloni,troshe5,species,troshe5,species,True
African Openbill,African Openbill,Anastomus lamelligerus,afrope1,species,afrope1,species,True
Black Stork,Black Stork,Ciconia nigra,blasto1,species,blasto1,species,True
Abdim's Stork,Abdim's Stork,Ciconia abdimii,abdsto1,species,abdsto1,species,True
Woolly-necked Stork,Woolly-necked Stork,Ciconia episcopus,wonsto1,species,wonsto1,species,True
White Stork,White Stork,Ciconia ciconia,whisto1,species,whisto1,species,True
