L6301101,KE,KE-200,,-0.0667076,37.0412636,A2 btwn. Naro Moru and Nanyuki
L983440,KE,KE-200,,-0.3251893,36.9321191,Aberdare Country Club
L1158780,KE,KE-200,,-0.3999678,36.7066956,Aberdare NP
L2688861,KE,KE-200,,-0.4547105,36.7162657,Aberdare NP--Chania Falls
L3830979,KE,KE-200,,-0.48286,36.73008,Aberdare NP--Fishing Lodge
L6196799,KE,KE-200,,-0.4761517,36.8051004,Aberdare NP--Kiandongoro Gate area
L4206242,KE,KE-200,,-0.3497579,36.6166739,Aberdare NP--Mount Satima
L5125062,KE,KE-200,,-0.3704112,36.878314,Aberdare NP--Salient
L961290,KE,KE-200,,-0.3485788,36.81216,Aberdare NP--The Ark
L2383566,KE,KE-200,,-0.3599989,36.9003403,Aberdare NP--Treetops Lodge
L6290911,KE,KE-800,,0.5658182,34.1513872,Adungosi
L1874593,KE,KE-600,,-0.1713178,34.9100661,Ahero Rice Fields
L8179129,KE,KE-700,,0.4573512,35.6616523,Ainamoj area
L7164272,KE,KE-700,,-1.2065401,35.2561998,Aitong Spring
L1473698,KE,KE-800,,0.5051863,34.1381718,Alupe
L966981,KE,KE-700,,-2.6516589,37.2624707,Amboseli NP
L4991172,KE,KE-700,,-2.70556,37.26661,Amboseli NP--Amboseli Serena Lodge
L5505276,KE,KE-700,,-2.6682494,37.2830459,Amboseli NP--Ol Tukai Lodge
L4490156,KE,KE-700,,-2.68351,37.181429,Amboseli NP--Tortilis Camp
L4753210,KE,KE-700,,-2.6001203,37.3596954,Amboseli northeast access (from Ol Tukai to the Emali rd.)
L6308521,KE,KE-700,,-2.4941069,36.9823408,Amboseli western access (Namanga to Meshanani Gate)
L3162013,KE,KE-700,,-1.2744377,34.9705875,Angama Lodge (Ol Kurruk)
L920917,KE,KE-300,,-3.3364116,39.8781395,Arabuko-Sokoke Forest
L6096235,KE,KE-300,,-3.4105265,39.8959064,Arabuko-Sokoke Forest--Braschystegia Forest
L5502383,KE,KE-300,,-3.2629338,39.9754983,Arabuko-Sokoke Forest--Swamp
